año,experiencia,modalidad,posicion,salario,moneda,salario_en_dolares,localidad,esquema,localidad_empresa,tamaño_empresa
2023,Senior,"Full Time","Cientifico de datos",80000,EUR,85847,ES,Remoto,ES,L
2023,"Semi Senior",Contractor,"Ingeniero de Machine Learning",30000,USD,30000,US,Remoto,US,S
2023,"Semi Senior",Contractor,"Ingeniero de Machine Learning",25500,USD,25500,US,Remoto,US,S
2023,Senior,"Full Time","Cientifico de datos",175000,USD,175000,CA,Remoto,CA,M
2023,Senior,"Full Time","Cientifico de datos",120000,USD,120000,CA,Remoto,CA,M
2023,Senior,"Full Time","Cientifico de datos",222200,USD,222200,US,Presencial,US,L
2023,Senior,"Full Time","Cientifico de datos",136000,USD,136000,US,Presencial,US,L
2023,Senior,"Full Time","Cientifico de datos",219000,USD,219000,CA,Presencial,CA,M
2023,Senior,"Full Time","Cientifico de datos",141000,USD,141000,CA,Presencial,CA,M
2023,Senior,"Full Time","Cientifico de datos",147100,USD,147100,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",90700,USD,90700,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",130000,USD,130000,US,Remoto,US,M
2023,Senior,"Full Time","Analista de datos",100000,USD,100000,US,Remoto,US,M
2023,Junior,"Full Time","Cientifico de datos",213660,USD,213660,US,Presencial,US,L
2023,Junior,"Full Time","Cientifico de datos",130760,USD,130760,US,Presencial,US,L
2023,Senior,"Full Time","Modelador de datos",147100,USD,147100,US,Presencial,US,M
2023,Senior,"Full Time","Modelador de datos",90700,USD,90700,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",170000,USD,170000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",150000,USD,150000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Analista de datos",150000,USD,150000,US,Remoto,US,M
2023,"Semi Senior","Full Time","Analista de datos",110000,USD,110000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",275000,USD,275000,DE,Presencial,DE,M
2023,Senior,"Full Time","Ingeniero de datos",174000,USD,174000,DE,Presencial,DE,M
2023,Senior,"Full Time","Analista de datos",230000,USD,230000,GB,Remoto,GB,M
2023,Senior,"Full Time","Analista de datos",143200,USD,143200,GB,Remoto,GB,M
2023,Senior,"Full Time","Ingeniero de BI",225000,USD,225000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de BI",156400,USD,156400,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",200000,USD,200000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",130000,USD,130000,US,Presencial,US,M
2023,Senior,"Full Time","Data Strategist",90000,USD,90000,CA,Presencial,CA,M
2023,Senior,"Full Time","Data Strategist",72000,USD,72000,CA,Presencial,CA,M
2023,Senior,"Full Time","Ingeniero de datos",253200,USD,253200,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",90700,USD,90700,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",342810,USD,342810,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",184590,USD,184590,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",162500,USD,162500,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",130000,USD,130000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Analista de datos",105380,USD,105380,US,Presencial,US,M
2023,"Semi Senior","Full Time","Analista de datos",64500,USD,64500,US,Presencial,US,M
2023,Junior,"Full Time","Analista de datos",100000,USD,100000,NG,Remoto,NG,L
2023,Junior,"Full Time","Analista de datos",30000,USD,30000,NG,Remoto,NG,L
2022,"Semi Senior","Full Time","Ingeniero de Machine Learning",1650000,INR,20984,IN,Hibrido,IN,L
2023,Junior,"Full Time","Cientifico de datos",204620,USD,204620,US,Presencial,US,L
2023,Junior,"Full Time","Cientifico de datos",110680,USD,110680,US,Presencial,US,L
2023,Senior,"Full Time","Ingeniero de datos",270703,USD,270703,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",221484,USD,221484,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",212750,USD,212750,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",185000,USD,185000,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",262000,USD,262000,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",245000,USD,245000,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",275300,USD,275300,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",183500,USD,183500,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",218500,USD,218500,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",199098,USD,199098,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",203300,USD,203300,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",123600,USD,123600,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",189110,USD,189110,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",139000,USD,139000,US,Presencial,US,M
2023,Executive,"Full Time","Cientifico de datos",258750,USD,258750,US,Presencial,US,M
2023,Executive,"Full Time","Cientifico de datos",185000,USD,185000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",231500,USD,231500,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",166000,USD,166000,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",172500,USD,172500,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",110500,USD,110500,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",238000,USD,238000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",176000,USD,176000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",237000,USD,237000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",201450,USD,201450,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",309400,USD,309400,US,Presencial,US,L
2023,Senior,"Full Time","Cientifico de datos",159100,USD,159100,US,Presencial,US,L
2023,Senior,"Full Time","Ingeniero de datos",115000,USD,115000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",81500,USD,81500,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",237000,USD,237000,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",201450,USD,201450,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",280000,USD,280000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",210000,USD,210000,US,Presencial,US,M
2023,Senior,"Full Time","Arquitecto de datos",280100,USD,280100,US,Remoto,US,M
2023,Senior,"Full Time","Arquitecto de datos",168100,USD,168100,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",193500,USD,193500,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",139000,USD,139000,US,Remoto,US,M
2023,"Semi Senior","Full Time","Cientifico de datos",510000,HKD,65062,HK,Presencial,HK,L
2023,Senior,"Full Time","Ingeniero de Machine Learning",150000,USD,150000,PT,Remoto,US,M
2023,"Semi Senior","Full Time","Ingeniero de Machine Learning",65000,EUR,69751,IN,Remoto,DE,S
2022,Junior,"Full Time","Ingeniero de Machine Learning",300000,USD,300000,IN,Hibrido,IN,L
2023,"Semi Senior","Full Time","Ingeniero de Machine Learning",90000,EUR,96578,NL,Remoto,NL,L
2023,Senior,"Full Time","Ingeniero de BI",185900,USD,185900,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de BI",129300,USD,129300,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",225000,USD,225000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",175000,USD,175000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",185000,USD,185000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",140000,USD,140000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",45000,EUR,48289,ES,Presencial,ES,M
2023,Senior,"Full Time","Cientifico de datos",36000,EUR,38631,ES,Presencial,ES,M
2023,Senior,"Full Time","Cientifico de datos",105000,USD,105000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",70000,USD,70000,US,Presencial,US,M
2023,Junior,"Full Time","Ingeniero de Machine Learning",163196,USD,163196,US,Presencial,US,M
2023,Junior,"Full Time","Ingeniero de Machine Learning",145885,USD,145885,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",217000,USD,217000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",185000,USD,185000,US,Remoto,US,M
2023,Senior,"Full Time","Analista de datos",202800,USD,202800,US,Presencial,US,L
2023,Senior,"Full Time","Analista de datos",104300,USD,104300,US,Presencial,US,L
2023,Senior,"Full Time","Analista de datos",145000,USD,145000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",65000,USD,65000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",165000,USD,165000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",132300,USD,132300,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",179170,USD,179170,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",94300,USD,94300,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",152500,USD,152500,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",116450,USD,116450,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",247300,USD,247300,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",133800,USD,133800,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",203000,USD,203000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",133000,USD,133000,US,Presencial,US,M
2023,Junior,"Full Time","Investigador de datos",220000,USD,220000,US,Hibrido,US,L
2022,Junior,"Full Time","Ingeniero de Machine Learning",54000,CHF,56536,CH,Remoto,CH,S
2023,Senior,"Full Time","Cientifico de datos",150000,USD,150000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",120000,USD,120000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",289800,USD,289800,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",214000,USD,214000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",179820,USD,179820,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",143860,USD,143860,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",283200,USD,283200,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",188800,USD,188800,US,Remoto,US,M
2023,Senior,"Full Time","Analista de datos",289800,USD,289800,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",214200,USD,214200,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",185900,USD,185900,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",129300,USD,129300,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",252000,USD,252000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",129000,USD,129000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Lider de equipo",155000,USD,155000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Lider de equipo",140000,USD,140000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",161800,USD,161800,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",141600,USD,141600,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",342300,USD,342300,US,Presencial,US,L
2023,Senior,"Full Time","Ingeniero de Machine Learning",176100,USD,176100,US,Presencial,US,L
2023,"Semi Senior","Full Time","Ingeniero de datos",100000,USD,100000,US,Remoto,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",70000,USD,70000,US,Remoto,US,M
2023,Junior,"Full Time","Ingeniero de datos",85000,USD,85000,US,Presencial,US,M
2023,Junior,"Full Time","Ingeniero de datos",65000,USD,65000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",138784,USD,138784,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",83270,USD,83270,US,Remoto,US,M
2023,Junior,"Full Time","Analista de datos",75000,USD,75000,US,Presencial,US,M
2023,Junior,"Full Time","Analista de datos",70000,USD,70000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",204500,USD,204500,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",138900,USD,138900,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",318300,USD,318300,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",212200,USD,212200,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",95000,USD,95000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",75000,USD,75000,US,Remoto,US,M
2023,Senior,"Full Time","Cientifico de datos",195000,USD,195000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",160000,USD,160000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",230000,USD,230000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",143200,USD,143200,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",100000,USD,100000,US,Remoto,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",70000,USD,70000,US,Remoto,US,M
2023,"Semi Senior","Full Time","Analista de datos",105000,USD,105000,US,Hibrido,US,L
2023,"Semi Senior","Full Time","Cientifico de datos",1700000,INR,20670,IN,Remoto,IN,L
2023,"Semi Senior","Full Time","Analista de datos",38000,GBP,46178,GB,Presencial,GB,M
2023,"Semi Senior","Full Time","Analista de datos",35000,GBP,42533,GB,Presencial,GB,M
2023,Senior,"Full Time","Ingeniero de datos",145000,USD,145000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",115000,USD,115000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",168400,USD,168400,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",105200,USD,105200,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",309400,USD,309400,US,Presencial,US,L
2023,Senior,"Full Time","Cientifico de datos",159100,USD,159100,US,Presencial,US,L
2023,Senior,"Full Time","Ingeniero de Machine Learning",190000,USD,190000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",150000,USD,150000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",162500,USD,162500,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",130000,USD,130000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",150000,USD,150000,US,Remoto,US,M
2023,Senior,"Full Time","Analista de datos",120000,USD,120000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",145000,USD,145000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",120000,USD,120000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",222200,USD,222200,US,Presencial,US,L
2023,Senior,"Full Time","Cientifico de datos",136000,USD,136000,US,Presencial,US,L
2023,Senior,"Full Time","Analista de datos",45000,GBP,54685,CF,Remoto,CF,M
2023,Senior,"Full Time","Analista de datos",35000,GBP,42533,CF,Remoto,CF,M
2023,Senior,"Full Time","Ingeniero de datos",241000,USD,241000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",155000,USD,155000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",220000,USD,220000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",190000,USD,190000,US,Remoto,US,M
2023,"Semi Senior","Full Time","Cientifico de datos",55000,GBP,66837,GB,Presencial,GB,M
2023,"Semi Senior","Full Time","Cientifico de datos",45000,GBP,54685,GB,Presencial,GB,M
2020,Executive,"Full Time","Analista de datos",15000,USD,15000,NG,Presencial,CA,M
2023,"Semi Senior","Full Time","Ingeniero de datos",70000,GBP,85066,GB,Remoto,GB,M
2023,"Semi Senior","Full Time","Ingeniero de datos",47500,GBP,57723,GB,Remoto,GB,M
2023,Junior,"Full Time","Analista de datos",85000,USD,85000,US,Remoto,US,M
2023,Junior,"Full Time","Analista de datos",75000,USD,75000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",160000,USD,160000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",140000,USD,140000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de Machine Learning",300000,USD,300000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de Machine Learning",250000,USD,250000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",228000,USD,228000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",186000,USD,186000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",190000,USD,190000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",170000,USD,170000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",230000,USD,230000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",200000,USD,200000,US,Presencial,US,M
2023,Senior,"Full Time","Arquitecto de datos",180000,USD,180000,US,Remoto,US,M
2023,Senior,"Full Time","Arquitecto de datos",115000,USD,115000,US,Remoto,US,M
2023,Senior,"Full Time","Arquitecto de datos",200000,USD,200000,US,Remoto,US,M
2023,Senior,"Full Time","Arquitecto de datos",115000,USD,115000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",50000,EUR,53654,FR,Hibrido,FR,S
2023,Executive,"Full Time","Ingeniero de datos",220000,USD,220000,US,Presencial,US,M
2023,Executive,"Full Time","Ingeniero de datos",205000,USD,205000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",180000,USD,180000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de datos",130000,USD,130000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",200000,USD,200000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",150000,USD,150000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",215000,USD,215000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",170000,USD,170000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",247500,USD,247500,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de Machine Learning",172200,USD,172200,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",224000,USD,224000,CA,Presencial,CA,M
2023,Senior,"Full Time","Cientifico de datos",176000,USD,176000,CA,Presencial,CA,M
2023,Senior,"Full Time","Analista de datos",120000,USD,120000,US,Remoto,US,M
2023,Senior,"Full Time","Analista de datos",75000,USD,75000,US,Remoto,US,M
2023,Junior,"Full Time","Ingeniero de datos",1400000,INR,17022,IN,Remoto,IN,L
2023,Senior,"Full Time","Cientifico de datos",100000,AUD,68318,AU,Remoto,FI,M
2023,"Semi Senior","Full Time","Ingeniero de Machine Learning",100000,SGD,75020,FI,Presencial,FI,M
2023,Senior,"Full Time","Analista de datos",140000,USD,140000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",120000,USD,120000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",128000,USD,128000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",81500,USD,81500,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",145000,USD,145000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",115000,USD,115000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",185000,USD,185000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",140000,USD,140000,US,Presencial,US,M
2023,Executive,"Full Time","Lider de equipo",329500,USD,329500,US,Presencial,US,M
2023,Executive,"Full Time","Lider de equipo",269600,USD,269600,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",100000,USD,100000,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",80000,USD,80000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",250000,USD,250000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",162500,USD,162500,US,Presencial,US,M
2023,"Semi Senior","Full Time","Ingeniero de Machine Learning",200000,USD,200000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",145000,USD,145000,US,Presencial,US,M
2023,Senior,"Full Time","Ingeniero de datos",100000,USD,100000,US,Presencial,US,M
2023,Executive,"Full Time","Ingeniero de datos",145000,USD,145000,US,Presencial,US,M
2023,Executive,"Full Time","Ingeniero de datos",115000,USD,115000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",203500,USD,203500,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",152000,USD,152000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",239000,USD,239000,US,Presencial,US,L
2023,Senior,"Full Time","Cientifico de datos",122900,USD,122900,US,Presencial,US,L
2023,Senior,"Full Time","Cientifico de datos",237000,USD,237000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",145000,USD,145000,US,Presencial,US,M
2023,Senior,"Full Time","Lider de equipo",191765,USD,191765,US,Presencial,US,M
2023,Senior,"Full Time","Lider de equipo",134236,USD,134236,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",190000,USD,190000,US,Remoto,US,M
2023,Senior,"Full Time","Analista de datos",112000,USD,112000,US,Remoto,US,M
2022,Senior,"Full Time","Cientifico de datos",84000,EUR,88256,ES,Remoto,GB,L
